Damage,Investment,Deaths
520945955453719.8,0.0,5.454967570275923e-06
404948448938336.5,0.01574569884055862,4.152108321119666e-06
414361267402211.7,0.02048559548199673,4.11098094545527e-06
548523941320548.94,0.011773408036057361,5.294029453743974e-06
456357037580238.0,0.0,4.0422436527441485e-06
5811667305730.592,0.34245531675201063,6.855058807775777e-08
13519907091307.557,0.0,1.4342107272893098e-07
126027199680815.33,0.0,1.2938968948907324e-06
27453049594841.074,0.0,9.745117026641572e-08
133838257163517.52,0.361755054135198,1.29483126782609e-06
48324955819160.516,0.11306824550919227,2.6245266592131583e-07
386888965364754.56,0.05312879302166121,4.034863202814493e-06
394584475464783.44,0.02344410493742322,4.116291567606911e-06
399126338251074.1,0.02344410493742322,4.175678192000416e-06
399567041513043.06,0.020617193889346828,4.172225854014656e-06
401765746608604.7,0.0,4.132929729225755e-06
434249547397354.44,0.011773408036057361,4.123696431604459e-06
14135864381915.846,0.6172105331515441,1.3576276898692871e-06
43803040595073.47,0.0,4.689883132748298e-07
44345696175294.625,0.28794260065190264,4.7162030435384513e-07
46260800210270.98,0.27770865954324814,4.800402350854069e-07
49286440016119.25,0.5369132409135,4.912728571674979e-07
56354254094850.88,0.2601020797131733,5.138819586665493e-07
122340636361794.12,0.5175532318404132,1.2865749580585307e-06
123220626446884.3,0.5175532318404132,1.2770023206011054e-06
